Coluna1,inlet_pressure,outlet_pressure,gasliftrate,Pipesim,Chen,HB,BB,flowrate por Chen,flowrate por Chen,flowrate por Chen,flowrate por H&B
85,196.6263,8.01149,4100.043,10095.0915,10325.33568,9923.680122,7345.063396,10325.335680000004,10325.335680000004,10325.335680000004,9640.657236647019
113,195.7107,7.004052,4300.031,9475.33805,10325.33568,9952.591062,7362.725154,10325.335680000004,10325.335680000004,10325.335680000004,9669.51383267885
79,195.9754,11.03885,4199.978,7525.701279,9238.45824,8766.916463,6621.800803,9238.458240000002,9238.458240000002,9238.458240000002,8483.89357726189
151,194.1814,11.03264,4100.043,6011.629535,8695.01952,8204.674763,6259.544552,8695.019520000002,8695.019520000002,8695.019520000002,7921.651877553228
125,194.1675,10.98998,3800.003,6114.415683,8695.01952,8213.695846,6265.413691,8695.019520000002,8695.019520000002,8695.019520000002,7930.672960305175
80,195.7369,7.046043,4399.966,9282.012356,10325.33568,9947.591426,7359.681897,10325.335680000004,10325.335680000004,10325.335680000004,9664.568540326878
46,196.8492,11.04624,4100.043,8453.087914,9238.45824,9039.396637,6794.777348,9238.458240000002,9238.458240000002,9238.458240000002,8756.373751468273
50,196.747,9.994032,3999.991,9206.291704,9781.89696,9338.179245,6982.535426,9781.896960000002,9781.896960000002,9781.896960000002,9055.102015850498
148,195.897,10.9778,3699.95,8103.153753,9238.45824,8761.482075,6618.322795,9238.458240000002,9238.458240000002,9238.458240000002,8478.404846189922
25,194.0149,10.03746,3699.95,7238.465714,8695.01952,8465.307973,6428.390963,8695.019520000002,8695.019520000002,8695.019520000002,8182.230743791682
140,193.9036,7.063539,4300.031,8058.006948,9781.89696,9365.568557,6999.653745,9781.896960000002,9781.896960000002,9781.896960000002,9082.491327338335
71,194.9546,10.04418,3999.991,7680.369864,9238.45824,8758.710538,6616.583791,9238.458240000002,9238.458240000002,9238.458240000002,8475.687652589937
28,193.922,6.982002,4399.966,7922.523873,9781.89696,9396.979315,7019.271883,9781.896960000002,9781.896960000002,9781.896960000002,9113.95642922615
94,194.7313,8.017898,3699.95,9325.522934,9781.89696,9325.734498,6974.764252,9781.896960000002,9781.896960000002,9781.896960000002,9042.657269162572
69,193.9856,7.979757,4399.966,7454.36983,9238.45824,9103.196343,6835.046157,9238.458240000002,9238.458240000002,9238.458240000002,8820.173457195893
141,194.955,8.995305,4399.966,7677.820162,9238.45824,9088.686529,6825.862043,9238.458240000002,9238.458240000002,9238.458240000002,8805.66364337198
154,196.7882,9.974649,4199.978,8902.726497,9781.89696,9357.1996,6994.436733,9781.896960000002,9781.896960000002,9781.896960000002,9074.176714922385
52,196.7677,9.985796,4100.043,9053.221701,9781.89696,9347.254672,6988.241532,9781.896960000002,9781.896960000002,9781.896960000002,9064.231786346445
120,193.9009,8.06505,3999.991,8078.211335,9238.45824,9049.721973,6801.298612,9238.458240000002,9238.458240000002,9238.458240000002,8766.69908714821
58,195.7891,10.0006,3699.95,8897.745041,9238.45824,9034.831752,6791.897123,9238.458240000002,9238.458240000002,9238.458240000002,8751.808866220299
122,195.9107,10.04099,4300.031,8002.043983,9238.45824,9060.373371,6808.037253,9238.458240000002,9238.458240000002,9238.458240000002,8777.350486060148
17,193.7864,7.002536,3800.003,8921.515498,9781.89696,9347.906798,6988.621939,9781.896960000002,9781.896960000002,9781.896960000002,9064.82956893844
158,194.832,7.0069,4399.966,8583.732578,9781.89696,9675.328627,7192.13974,9781.896960000002,9781.896960000002,9781.896960000002,9392.305741608494
45,195.6814,8.066624,3900.056,9691.028853,9781.89696,9609.192135,7151.218804,9781.896960000002,9781.896960000002,9781.896960000002,9326.169249384888
6,193.9103,9.037634,3699.95,8008.935208,9238.45824,8746.80923,6608.975649,9238.458240000002,9238.458240000002,9238.458240000002,8463.786344622009
37,193.9949,8.995297,4100.043,7385.788847,9238.45824,8786.751976,6634.462925,9238.458240000002,9238.458240000002,9238.458240000002,8503.729090541772
149,196.7849,10.97894,3699.95,8927.074152,9238.45824,9040.320483,6795.37513,9238.458240000002,9238.458240000002,9238.458240000002,8757.297597292267
142,193.9638,7.988135,4300.031,7614.965972,9238.45824,9093.686165,6829.068331,9238.458240000002,9238.458240000002,9238.458240000002,8810.663279595949
90,193.9189,7.995898,4100.043,7945.541465,9238.45824,9077.165628,6818.579964,9238.458240000002,9238.458240000002,9238.458240000002,8794.088398636048
67,196.6019,9.001881,3699.95,10274.77277,9781.89696,9604.572906,7148.338579,9781.896960000002,9781.896960000002,9781.896960000002,9321.495676392915
152,194.686,7.004103,3800.003,9659.165097,9781.89696,9630.331901,7164.315677,9781.896960000002,9781.896960000002,9781.896960000002,9347.254671720762
137,194.9981,10.06758,4199.978,7360.329462,9238.45824,8765.014427,6620.605238,9238.458240000002,9238.458240000002,9238.458240000002,8481.9915417419
57,195.7722,9.002436,3999.991,9022.311574,9781.89696,9343.450601,6985.850402,9781.896960000002,9781.896960000002,9781.896960000002,9060.427715306467
4,194.2062,10.99503,4300.031,5828.861518,8695.01952,8224.292901,6272.315362,8695.019520000002,8695.019520000002,8695.019520000002,7941.270015345112
92,193.8384,8.064642,3699.95,8538.781518,9238.45824,9030.212522,6788.962553,9238.458240000002,9238.458240000002,9238.458240000002,8747.189637100328
78,196.8044,9.995562,4300.031,8783.425,9781.89696,9355.732316,6993.512888,9781.896960000002,9781.896960000002,9781.896960000002,9072.709430378394
104,195.653,8.003705,3800.003,9900.167221,9781.89696,9620.060909,7157.957444,9781.896960000002,9781.896960000002,9781.896960000002,9337.038023784822
95,194.8669,7.946799,4300.031,8326.553894,9781.89696,9390.729769,7015.359124,9781.896960000002,9781.896960000002,9781.896960000002,9107.706883946186
77,196.7384,9.001086,4300.031,9269.444529,9781.89696,9647.72194,7175.075764,9781.896960000002,9781.896960000002,9781.896960000002,9364.69905463266
8,195.8046,9.948398,3800.003,8783.425,9238.45824,9056.134549,6805.320059,9238.458240000002,9238.458240000002,9238.458240000002,8773.111664044172
73,195.6867,7.006817,4199.978,9652.170981,10325.33568,9944.167762,7357.562486,10325.335680000004,10325.335680000004,10325.335680000004,9661.1448763909
105,196.6164,7.040217,4300.031,10167.69278,10325.33568,10226.04943,7529.506497,10325.335680000004,10325.335680000004,10325.335680000004,9943.026540453226
129,195.9059,10.98934,3800.003,8037.182702,9238.45824,8760.612573,6617.779357,9238.458240000002,9238.458240000002,9238.458240000002,8477.589688109927
81,193.9567,9.062704,3900.056,7667.167122,9238.45824,8753.54787,6613.268815,9238.458240000002,9238.458240000002,9238.458240000002,8470.47064087797
155,194.8049,8.960682,3699.95,8783.425,9238.45824,9052.384822,6802.983272,9238.458240000002,9238.458240000002,9238.458240000002,8769.307593004196
61,194.1964,11.05145,4199.978,5901.563181,8695.01952,8203.479198,6258.783738,8695.019520000002,8695.019520000002,8695.019520000002,7920.456312369236
44,194.7778,8.002666,3900.056,8982.756047,9781.89696,9345.135261,6986.882935,9781.896960000002,9781.896960000002,9781.896960000002,9062.112375338456
119,196.6996,8.061604,4399.966,9554.850632,10325.33568,9931.016545,7349.519593,10325.335680000004,10325.335680000004,10325.335680000004,9647.939315494978
133,195.7711,8.005867,4300.031,9030.194071,9781.89696,9656.525647,7180.510151,9781.896960000002,9781.896960000002,9781.896960000002,9373.448418024607
10,196.829,10.04391,4399.966,8601.705975,9781.89696,9348.287205,6988.839315,9781.896960000002,9781.896960000002,9781.896960000002,9065.209976042437
134,195.8188,9.029348,4199.978,8679.296242,9781.89696,9349.645802,6989.708817,9781.896960000002,9781.896960000002,9781.896960000002,9066.62291671443
5,195.7486,8.015686,4199.978,9196.095402,9781.89696,9646.363343,7174.206262,9781.896960000002,9781.896960000002,9781.896960000002,9363.286113960668
